Address,postalCode,Property type,Post town name,County area name,Region name,UPRN,Amount,Amount per week,Price actual,Price max,Price min,Number of rooms,Number of Bath,Reception,Square foot,EPC Rating,Nearby Stations,Nearby Schools,Longitude,Latitude,Council tax ,Listing URL,LODGEMENT_ID,POSTCODE,BUILDING_ID,CURRENT_ENER_RATING,POTENTIAL_ENER_RATING,CURRENT_ENER_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,PROPERTY_TYPE,BUILT_FORM,INSPECTION_DATE,LAD_CD,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,ENV_IMP_CURR,ENV_IMP_POTENT,ENERGY_CONSUM_CURR,ENERGY_CONSUM_POTEN,CO2_EMISS_CURR,CO2_EMISS_CURR_PER_FLOOR,CO2_EMISS_POTENT,SQM_TOTAL,ENERGY_TARIFF,FLOOR_LEVEL,GLAZED_TYPE,ROOMS_HABITABLE,LOW_ENERGY_LIGHTING,FIREPLACES_OPEN,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,FLOOR_ENV_EFF,WINDOWS_DESCRIPTION,WINDOWS_ENERGY_EFF,WINDOWS_ENV_EFF,WALLS_DESCRIPTION,WALLS_ENERGY_EFF,WALLS_ENV_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,ROOF_ENV_EFF,MAINHEAT_DESCRIPTION,MAINHEAT_ENERGY_EFF,MAINHEAT_ENV_EFF,MAINHEATCONT_DESCRIPTION,MAINHEATC_ENERGY_EFF,MAINHEATC_ENV_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,LIGHTING_ENV_EFF,HEAT_LOSS_CORRIDOR,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,MECHANICAL_VENTILATION,ADDRESS,LAD_NM,POSTTOWN,CONSTRUCTION_AGE,TENURE,UPRN_SOURCE,Source Folder
"Equity Chambers, 40 Piccadilly, Bradford, West Yorkshire BD1",BD1 3NN,flat,Bradford,West Yorkshire,Yorkshire and The Humber,10010581709,750,173.08,750,800,700,2,1,1,,E,"Bradford Forster Square
0.1 miles, Bradford Interchange
0.4 miles, Frizinghall
1.7 miles, Shipley (Yorks)
2.6 miles","Bradford College
0.5 miles, Training and Skills Centre
0.5 miles, New College Bradford
0.5 miles, Westminster Church of England Primary Academy
0.6 miles",-1.754649,53.796612,,https://www.zoopla.co.uk/to-rent/details/56980837/,eddb032949b19db40b21183a1710be3591c9b8643b48de36ea237fdff11a3b8e,BD1 3NN,10000802337,D,B,64,86,Flat,Enclosed Mid-Terrace,25/11/2020,E08000032,,44160,rental,66,78,237,152,3.3,40,2.1,82,off-peak 10 hour,2,"double glazing, unknown install date",3,43,0,(another dwelling below),,,Fully double glazed,Average,Average,"Sandstone or limestone, as built, no insulation (assumed)",Poor,Poor,(another dwelling above),,,"Room heaters, electric",Very Poor,Poor,Programmer and appliance thermostats,Good,Good,Low energy lighting in 43% of fixed outlets,Average,Average,unheated corridor,0,N,natural,"FLAT 28, EQUITY CHAMBERS, 40 PICCADILLY",Bradford,BRADFORD,England and Wales: 1900-1929,Rented (private),Energy Assessor,domestic-E08000032-Bradford
"School Road, Thurcroft, Rotherham S66",S66 9DE,end_terrace,Rotherham,South Yorkshire,Yorkshire and The Humber,1.00E+11,925,213.46,925,1000,900,3,1,1,,D,"Kiveton Bridge
3.6 miles, Kiveton Park
3.9 miles, Woodhouse
4.6 miles, Rotherham Central
5.1 miles","Thurcroft Junior Academy
0.05 miles, The Willows School
0.2 miles, Thurcroft Infant School
0.3 miles, Laughton All Saints' CofE Primary School
1 miles",-1.256067,53.392059,,https://www.zoopla.co.uk/to-rent/details/69552342/,1.38E+33,S66 9DE,4274050478,D,B,64,86,House,End-Terrace,11/11/2015,E08000018,,42319,marketed sale,60,84,281,117,4,49,1.7,81,Single,NODATA!,"double glazing, unknown install date",5,10,0,"Suspended, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in 10% of fixed outlets,Poor,Poor,NO DATA!,,N,natural,"1, School Road, Thurcroft",Rotherham,ROTHERHAM,England and Wales: 1930-1949,owner-occupied,Address Matched,domestic-E08000018-Rotherham
"Swanhill Lane, Pontefract, West Yorkshire WF8",WF8 2RJ,flat,Pontefract,West Yorkshire,Yorkshire and The Humber,63165499,675,155.77,675,700,600,2,1,1,,C,"Pontefract Baghill
0.6 miles, Pontefract Tanshelf
0.8 miles, Pontefract Monkhill
1.1 miles, Featherstone
2.1 miles","Carleton Park Junior and Infant School
0.2 miles, The King's School
0.4 miles, Larks Hill Junior and Infant School
0.5 miles, Carleton High School
0.5 miles",-1.307834,53.683853,,https://www.zoopla.co.uk/to-rent/details/66679510/,3.29E+32,WF8 2RJ,5136005668,B,B,83,85,Flat,Detached,13/07/2009,E08000036,,40011,rental (private),83,84,142,131,1.3,23,1.2,55.8,Single,Ground,double glazing installed during or after 2002,3,0,0,"Solid, insulated (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,(another dwelling above),,,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Average,Average,No low energy lighting,Very Poor,Very Poor,no corridor,0,N,natural,"4 Swanhill Mews, Swanhill Lane",Wakefield,PONTEFRACT,England and Wales: 2007 onwards,rental (private),Address Matched,domestic-E08000036-Wakefield
"Swanhill Lane, Pontefract, West Yorkshire WF8",WF8 2RJ,flat,Pontefract,West Yorkshire,Yorkshire and The Humber,63165499,675,155.77,675,700,600,2,1,1,,C,"Pontefract Baghill
0.6 miles, Pontefract Tanshelf
0.8 miles, Pontefract Monkhill
1.1 miles, Featherstone
2.1 miles","Carleton Park Junior and Infant School
0.2 miles, The King's School
0.4 miles, Larks Hill Junior and Infant School
0.5 miles, Carleton High School
0.5 miles",-1.307834,53.683853,,https://www.zoopla.co.uk/to-rent/details/66679510/,5a32648751b9bead37692edf641424e4e78fdb25d1d7e46ce0b6465d6f548fed,WF8 2RJ,5136005668,C,C,78,78,Flat,Semi-Detached,15/02/2023,E08000036,,44974,rental,80,80,148,148,1.5,26,1.5,57,Unknown,1,double glazing installed during or after 2002,4,100,0,(another dwelling below),,,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,"Pitched, 300 mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,no corridor,0,N,natural,"4 Swanhill Mews, Swanhill Lane",Wakefield,PONTEFRACT,England and Wales: 2003-2006,Owner-occupied,Energy Assessor,domestic-E08000036-Wakefield
"Clarendon Road, University, Leeds LS2",LS2 9NZ,flat,Leeds,West Yorkshire,Yorkshire and The Humber,72043846,1200,276.92,1200,1250,1000,2,1,,,D,"Leeds
0.8 miles, Burley Park
1 miles, Headingley
1.7 miles, Cottingley
2.7 miles","Luminate Education Group
0.2 miles, Rosebank Primary School
0.3 miles, Blenheim Primary School
0.6 miles, Notre Dame Catholic Sixth Form College
0.6 miles",-1.560132,53.803109,,https://www.zoopla.co.uk/to-rent/details/38760381/,2.46E+32,LS2 9NZ,4919229568,D,B,56,82,Flat,Mid-Terrace,11/04/2012,E08000035,,41016,marketed sale,51,84,280,93,5.4,54,1.8,101,Single,1st,single glazing,3,78,0,(other premises below),,,Single glazed,Very Poor,Very Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,(another dwelling above),,,"Boiler and radiators, mains gas",Good,Good,"Programmer, no room thermostat",Very Poor,Very Poor,Low energy lighting in 78% of fixed outlets,Very Good,Very Good,unheated corridor,0,,natural,"Flat 1, 39 Clarendon Road",Leeds,LEEDS,England and Wales: 1900-1929,owner-occupied,Address Matched,domestic-E08000035-Leeds
"Clarendon Road, University, Leeds LS2",LS2 9NZ,flat,Leeds,West Yorkshire,Yorkshire and The Humber,72043846,1200,276.92,1200,1250,1000,2,1,,,D,"Leeds
0.8 miles, Burley Park
1 miles, Headingley
1.7 miles, Cottingley
2.7 miles","Luminate Education Group
0.2 miles, Rosebank Primary School
0.3 miles, Blenheim Primary School
0.6 miles, Notre Dame Catholic Sixth Form College
0.6 miles",-1.560132,53.803109,,https://www.zoopla.co.uk/to-rent/details/38760381/,2.46E+32,LS2 9NZ,4919229568,D,D,57,63,House,End-Terrace,16/03/2009,E08000035,,39888,rental (private),50,56,364,313,4.6,61,3.9,74.81,Single,1st,single glazing,2,50,0,(other premises below),,,Single glazed,Very Poor,Very Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,(another dwelling above),,,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Poor,Poor,Low energy lighting in 50% of fixed outlets,Good,Good,unheated corridor,0,N,natural,"Flat 1, 39 Clarendon Road",Leeds,LEEDS,England and Wales: before 1900,rental (private),Address Matched,domestic-E08000035-Leeds
"Clarendon Road, University, Leeds LS2",LS2 9NZ,flat,Leeds,West Yorkshire,Yorkshire and The Humber,72043846,1200,276.92,1200,1250,1000,2,1,,,D,"Leeds
0.8 miles, Burley Park
1 miles, Headingley
1.7 miles, Cottingley
2.7 miles","Luminate Education Group
0.2 miles, Rosebank Primary School
0.3 miles, Blenheim Primary School
0.6 miles, Notre Dame Catholic Sixth Form College
0.6 miles",-1.560132,53.803109,,https://www.zoopla.co.uk/to-rent/details/38760381/,fa8cd1e92a704f79339d7ea31f04bce2da5c2d60c7a81a551de877d30ad8be9d,LS2 9NZ,10002929802,D,C,65,78,Flat,Semi-Detached,10/05/2022,E08000035,,44691,rental,60,78,258,140,3.8,46,2.1,84,Single,1,"double glazing, unknown install date",3,100,0,(another dwelling below),,,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,(another dwelling above),,,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,unheated corridor,0,N,natural,"Flat 1, 39 Clarendon Road, Woodhouse",Leeds,LEEDS,England and Wales: before 1900,Rented (private),Energy Assessor,domestic-E08000035-Leeds
"Flanders Red, Hull HU7",HU7 4WF,,Hull,East Riding of Yorkshire,Yorkshire and The Humber,10008634654,825,190.38,825,900,800,3,1,1,,C,"Cottingham
2.6 miles, Hull
2.7 miles, Hull Ferry Terminal
3.9 miles, Beverley
5.3 miles","St Andrew's Church of England Voluntary Aided Primary School
0.1 miles, Sutton Park Primary School
0.3 miles, Parkstone Primary School
0.5 miles, St Mary Queen of Martyrs VC Academy
0.6 miles",-0.342902,53.782783,,https://www.zoopla.co.uk/to-rent/details/69551170/,3.11E+32,HU7 4WF,4055273668,C,C,74,76,House,End-Terrace,22/06/2009,E06000010,,39987,rental (private),74,75,201,192,2.2,32,2.1,66.4,NO DATA!,NO DATA!,NO DATA!,,10,,"Solid, limited insulation (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,"Pitched, 200mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Average,Average,Low energy lighting in 10% of fixed outlets,Poor,Poor,NO DATA!,0,,NO DATA!,"52, Flanders Red","Kingston upon Hull, City of",HULL,England and Wales: 1996-2002,rental (private),Address Matched,domestic-E06000010-Kingston-upon-Hull-City-of
"Flanders Red, Hull HU7",HU7 4WF,,Hull,East Riding of Yorkshire,Yorkshire and The Humber,10008634654,825,190.38,825,900,800,3,1,1,,C,"Cottingham
2.6 miles, Hull
2.7 miles, Hull Ferry Terminal
3.9 miles, Beverley
5.3 miles","St Andrew's Church of England Voluntary Aided Primary School
0.1 miles, Sutton Park Primary School
0.3 miles, Parkstone Primary School
0.5 miles, St Mary Queen of Martyrs VC Academy
0.6 miles",-0.342902,53.782783,,https://www.zoopla.co.uk/to-rent/details/69551170/,3.11E+32,HU7 4WF,4055273668,C,B,70,84,House,End-Terrace,16/07/2019,E06000010,,43662,rental (private),70,85,204,94,2.4,36,1.1,67,Single,NODATA!,"double glazing, unknown install date",4,78,0,"Solid, limited insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 78% of fixed outlets,Very Good,Very Good,NO DATA!,,N,natural,"52, Flanders Red","Kingston upon Hull, City of",HULL,England and Wales: 1996-2002,rental (private),Address Matched,domestic-E06000010-Kingston-upon-Hull-City-of
"Clarendon Road, Leeds LS2",LS2 9DG,flat,Leeds,West Yorkshire,Yorkshire and The Humber,72791663,1233,284.54,1233,1250,1000,1,1,,,C,"Leeds
0.9 miles, Burley Park
1 miles, Headingley
1.8 miles, Kirkstall Forge
2.8 miles","Notre Dame Catholic Sixth Form College
0.3 miles, Blenheim Primary School
0.3 miles, Luminate Education Group
0.5 miles, West Oaks School
0.5 miles",-1.554948382,53.80712967,,https://www.zoopla.co.uk/to-rent/details/66435600/,990964e27745d7553af6b42b22175130f35295d933c98eb0baee29b908d5f886,LS2 9DG,10001647341,C,C,78,78,Flat,Detached,26/08/2021,E08000035,,44434,new dwelling,82,82,150,150,1.3,26,1.3,49,standard tariff,2,,,100,0,(other premises below),,,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.30 W/m-Â¦K,Good,Good,Average thermal transmittance 0.17 W/m-Â¦K,Good,Good,"Boiler and radiators, mains gas",Good,Good,Time and temperature zone control,Very Good,Very Good,Low energy lighting in all fixed outlets,Very Good,Very Good,,,,,"Flat 8, 29 Clarendon Road",Leeds,LEEDS,2021,Not defined - use in the case of a new dwelling for which the intended tenure in not known. It is not to be used for an existing dwelling,Address Matched,domestic-E08000035-Leeds
"Swanhill Lane, Pontefract, West Yorkshire WF8",WF8 2RJ,flat,Pontefract,West Yorkshire,Yorkshire and The Humber,63165499,675,155.77,675,700,600,2,1,1,,C,"Pontefract Baghill
0.6 miles, Pontefract Tanshelf
0.8 miles, Pontefract Monkhill
1.1 miles, Featherstone
2.1 miles","Carleton Park Junior and Infant School
0.2 miles, The King's School
0.4 miles, Larks Hill Junior and Infant School
0.5 miles, Carleton High School
0.5 miles",-1.307834,53.683853,,https://www.zoopla.co.uk/to-rent/details/66679510/,3.29E+32,WF8 2RJ,5136005668,B,B,83,85,Flat,Detached,13/07/2009,E08000036,,40011,rental (private),83,84,142,131,1.3,23,1.2,55.8,Single,Ground,double glazing installed during or after 2002,3,0,0,"Solid, insulated (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,(another dwelling above),,,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Average,Average,No low energy lighting,Very Poor,Very Poor,no corridor,0,N,natural,"4 Swanhill Mews, Swanhill Lane",Wakefield,PONTEFRACT,England and Wales: 2007 onwards,rental (private),Address Matched,domestic-E08000036-Wakefield
"Swanhill Lane, Pontefract, West Yorkshire WF8",WF8 2RJ,flat,Pontefract,West Yorkshire,Yorkshire and The Humber,63165499,675,155.77,675,700,600,2,1,1,,C,"Pontefract Baghill
0.6 miles, Pontefract Tanshelf
0.8 miles, Pontefract Monkhill
1.1 miles, Featherstone
2.1 miles","Carleton Park Junior and Infant School
0.2 miles, The King's School
0.4 miles, Larks Hill Junior and Infant School
0.5 miles, Carleton High School
0.5 miles",-1.307834,53.683853,,https://www.zoopla.co.uk/to-rent/details/66679510/,5a32648751b9bead37692edf641424e4e78fdb25d1d7e46ce0b6465d6f548fed,WF8 2RJ,5136005668,C,C,78,78,Flat,Semi-Detached,15/02/2023,E08000036,,44974,rental,80,80,148,148,1.5,26,1.5,57,Unknown,1,double glazing installed during or after 2002,4,100,0,(another dwelling below),,,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,"Pitched, 300 mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,no corridor,0,N,natural,"4 Swanhill Mews, Swanhill Lane",Wakefield,PONTEFRACT,England and Wales: 2003-2006,Owner-occupied,Energy Assessor,domestic-E08000036-Wakefield
"Clarendon Road, University, Leeds LS2",LS2 9NZ,flat,Leeds,West Yorkshire,Yorkshire and The Humber,72043846,1200,276.92,1200,1250,1000,2,1,,,D,"Leeds
0.8 miles, Burley Park
1 miles, Headingley
1.7 miles, Cottingley
2.7 miles","Luminate Education Group
0.2 miles, Rosebank Primary School
0.3 miles, Blenheim Primary School
0.6 miles, Notre Dame Catholic Sixth Form College
0.6 miles",-1.560132,53.803109,,https://www.zoopla.co.uk/to-rent/details/38760381/,2.46E+32,LS2 9NZ,4919229568,D,B,56,82,Flat,Mid-Terrace,11/04/2012,E08000035,,41016,marketed sale,51,84,280,93,5.4,54,1.8,101,Single,1st,single glazing,3,78,0,(other premises below),,,Single glazed,Very Poor,Very Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,(another dwelling above),,,"Boiler and radiators, mains gas",Good,Good,"Programmer, no room thermostat",Very Poor,Very Poor,Low energy lighting in 78% of fixed outlets,Very Good,Very Good,unheated corridor,0,,natural,"Flat 1, 39 Clarendon Road",Leeds,LEEDS,England and Wales: 1900-1929,owner-occupied,Address Matched,domestic-E08000035-Leeds
"Clarendon Road, University, Leeds LS2",LS2 9NZ,flat,Leeds,West Yorkshire,Yorkshire and The Humber,72043846,1200,276.92,1200,1250,1000,2,1,,,D,"Leeds
0.8 miles, Burley Park
1 miles, Headingley
1.7 miles, Cottingley
2.7 miles","Luminate Education Group
0.2 miles, Rosebank Primary School
0.3 miles, Blenheim Primary School
0.6 miles, Notre Dame Catholic Sixth Form College
0.6 miles",-1.560132,53.803109,,https://www.zoopla.co.uk/to-rent/details/38760381/,2.46E+32,LS2 9NZ,4919229568,D,D,57,63,House,End-Terrace,16/03/2009,E08000035,,39888,rental (private),50,56,364,313,4.6,61,3.9,74.81,Single,1st,single glazing,2,50,0,(other premises below),,,Single glazed,Very Poor,Very Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,(another dwelling above),,,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Poor,Poor,Low energy lighting in 50% of fixed outlets,Good,Good,unheated corridor,0,N,natural,"Flat 1, 39 Clarendon Road",Leeds,LEEDS,England and Wales: before 1900,rental (private),Address Matched,domestic-E08000035-Leeds
"Clarendon Road, University, Leeds LS2",LS2 9NZ,flat,Leeds,West Yorkshire,Yorkshire and The Humber,72043846,1200,276.92,1200,1250,1000,2,1,,,D,"Leeds
0.8 miles, Burley Park
1 miles, Headingley
1.7 miles, Cottingley
2.7 miles","Luminate Education Group
0.2 miles, Rosebank Primary School
0.3 miles, Blenheim Primary School
0.6 miles, Notre Dame Catholic Sixth Form College
0.6 miles",-1.560132,53.803109,,https://www.zoopla.co.uk/to-rent/details/38760381/,fa8cd1e92a704f79339d7ea31f04bce2da5c2d60c7a81a551de877d30ad8be9d,LS2 9NZ,10002929802,D,C,65,78,Flat,Semi-Detached,10/05/2022,E08000035,,44691,rental,60,78,258,140,3.8,46,2.1,84,Single,1,"double glazing, unknown install date",3,100,0,(another dwelling below),,,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,(another dwelling above),,,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,unheated corridor,0,N,natural,"Flat 1, 39 Clarendon Road, Woodhouse",Leeds,LEEDS,England and Wales: before 1900,Rented (private),Energy Assessor,domestic-E08000035-Leeds
"Flanders Red, Hull HU7",HU7 4WF,,Hull,East Riding of Yorkshire,Yorkshire and The Humber,10008634654,825,190.38,825,900,800,3,1,1,,C,"Cottingham
2.6 miles, Hull
2.7 miles, Hull Ferry Terminal
3.9 miles, Beverley
5.3 miles","St Andrew's Church of England Voluntary Aided Primary School
0.1 miles, Sutton Park Primary School
0.3 miles, Parkstone Primary School
0.5 miles, St Mary Queen of Martyrs VC Academy
0.6 miles",-0.342902,53.782783,,https://www.zoopla.co.uk/to-rent/details/69551170/,3.11E+32,HU7 4WF,4055273668,C,C,74,76,House,End-Terrace,22/06/2009,E06000010,,39987,rental (private),74,75,201,192,2.2,32,2.1,66.4,NO DATA!,NO DATA!,NO DATA!,,10,,"Solid, limited insulation (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,"Pitched, 200mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Average,Average,Low energy lighting in 10% of fixed outlets,Poor,Poor,NO DATA!,0,,NO DATA!,"52, Flanders Red","Kingston upon Hull, City of",HULL,England and Wales: 1996-2002,rental (private),Address Matched,domestic-E06000010-Kingston-upon-Hull-City-of
"Flanders Red, Hull HU7",HU7 4WF,,Hull,East Riding of Yorkshire,Yorkshire and The Humber,10008634654,825,190.38,825,900,800,3,1,1,,C,"Cottingham
2.6 miles, Hull
2.7 miles, Hull Ferry Terminal
3.9 miles, Beverley
5.3 miles","St Andrew's Church of England Voluntary Aided Primary School
0.1 miles, Sutton Park Primary School
0.3 miles, Parkstone Primary School
0.5 miles, St Mary Queen of Martyrs VC Academy
0.6 miles",-0.342902,53.782783,,https://www.zoopla.co.uk/to-rent/details/69551170/,3.11E+32,HU7 4WF,4055273668,C,B,70,84,House,End-Terrace,16/07/2019,E06000010,,43662,rental (private),70,85,204,94,2.4,36,1.1,67,Single,NODATA!,"double glazing, unknown install date",4,78,0,"Solid, limited insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 78% of fixed outlets,Very Good,Very Good,NO DATA!,,N,natural,"52, Flanders Red","Kingston upon Hull, City of",HULL,England and Wales: 1996-2002,rental (private),Address Matched,domestic-E06000010-Kingston-upon-Hull-City-of
"Butcher Street, Leeds LS11",LS11 5WF,flat,Leeds,West Yorkshire,Yorkshire and The Humber,72572090,900,207.69,900,900,900,2,2,1,754,D,"Leeds
0.3 miles, Burley Park
1.8 miles, Cottingley
2.2 miles, Headingley
2.5 miles","Lane End Primary School
0.5 miles, Leeds Mathematics School
0.6 miles, Ingram Road Primary School
0.7 miles, Luminate Education Group
0.7 miles",-1.553057,53.791435,,https://www.zoopla.co.uk/to-rent/details/69551126/,6.80E+32,LS11 5WF,1036430968,B,B,82,84,Flat,Enclosed Mid-Terrace,21/09/2011,E08000035,,40809,marketed sale,83,83,125,126,1.3,22,1.3,60.5,Single,1st,double glazing installed during or after 2002,5,100,0,(other premises below),,,Fully double glazed,Good,Good,"Solid brick, as built, insulated (assumed)",Good,Good,(another dwelling above),,,"Room heaters, electric",Very Poor,Very Poor,Programmer and room thermostats,Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,heated corridor,0,,natural,"6, Butcher Street",Leeds,LEEDS,England and Wales: 2003-2006,owner-occupied,Address Matched,domestic-E08000035-Leeds
"Butcher Street, Leeds LS11",LS11 5WF,flat,Leeds,West Yorkshire,Yorkshire and The Humber,72572090,900,207.69,900,900,900,2,2,1,754,D,"Leeds
0.3 miles, Burley Park
1.8 miles, Cottingley
2.2 miles, Headingley
2.5 miles","Lane End Primary School
0.5 miles, Leeds Mathematics School
0.6 miles, Ingram Road Primary School
0.7 miles, Luminate Education Group
0.7 miles",-1.553057,53.791435,,https://www.zoopla.co.uk/to-rent/details/69551126/,b3e620186f5d3bd89eb10e28dd0eb3ea1c1f3f94dddada489dd13bed912f2c07,LS11 5WF,10002326815,D,C,59,76,Flat,Mid-Terrace,18/01/2022,E08000035,,44579,rental,62,61,275,280,3.2,46,3.3,69,Unknown,1,double glazing installed during or after 2002,3,75,0,"To external air, limited insulation (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,(another dwelling above),,,"Room heaters, electric",Very Poor,Poor,Programmer and appliance thermostats,Good,Good,Low energy lighting in 75% of fixed outlets,Very Good,Very Good,unheated corridor,0,N,natural,6 Butcher Street,Leeds,LEEDS,England and Wales: 1996-2002,Rented (private),Energy Assessor,domestic-E08000035-Leeds
"Norfolk Park Road, Sheffield S2",S2 2UA,,Sheffield,South Yorkshire,Yorkshire and The Humber,10095693116,475,109.62,475,500,400,1,2,1,,,"Sheffield
0.6 miles, Darnall
1.8 miles, Meadowhall
3.5 miles, Woodhouse
3.9 miles","Heritage Park School
0.2 miles, Discovery Academy
0.2 miles, All Saints' Catholic High School
0.2 miles, Seven Hills School
0.3 miles",-1.451258,53.372362,,https://www.zoopla.co.uk/to-rent/details/68715453/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bancroft Drive, Auckley, Doncaster DN9",DN9 3GQ,detached,Doncaster,South Yorkshire,Yorkshire and The Humber,10006711928,1450,334.62,1450,1500,1250,4,2,,,C,"Doncaster
5.6 miles, Kirk Sandall
5.9 miles, Bentley (South Yorkshire)
6.8 miles, Hatfield & Stainforth
7.3 miles","Hill House School
0.3 miles, Hayfield Lane Primary School
0.4 miles, The Hayfield School
0.6 miles, New College Doncaster
0.6 miles",-1.020319,53.483745,,https://www.zoopla.co.uk/to-rent/details/64523572/,1.56E+33,DN9 3GQ,9886752578,C,B,78,89,House,Detached,26/06/2017,E08000017,,42912,new dwelling,77,87,136,69,2.6,24,1.3,107,standard tariff,NO DATA!,NO DATA!,,33,0,Average thermal transmittance 0.21 W/m-Â¦K,Good,Good,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.32 W/m-Â¦K,Good,Good,Average thermal transmittance 0.16 W/m-Â¦K,Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Very Good,Very Good,Low energy lighting in 33% of fixed outlets,Average,Average,NO DATA!,,,NO DATA!,"18, Bancroft Drive, Auckley",Doncaster,DONCASTER,NO DATA!,unknown,Address Matched,domestic-E08000017-Doncaster
"Thornes Park, Rastrick, Brighouse HD6",HD6 3DB,flat,Brighouse,West Yorkshire,Yorkshire and The Humber,1.00E+11,495,114.23,495,500,400,1,1,1,,E,"Brighouse
0.3 miles, Deighton
2.5 miles, Halifax
3.1 miles, Huddersfield
3.4 miles","Longroyde Primary School
0.1 miles, Rastrick High School
0.2 miles, St Andrew's CofE (VA) Junior School
0.5 miles, Woodhouse Primary School
0.6 miles",-1.787703,53.697983,A,https://www.zoopla.co.uk/to-rent/details/64205422/,73c2d1cacf2f4c18727e222eef4f659425f6e493ff37be3e5f61c4e1eee330bf,HD6 3DB,10002033113,E,C,54,74,Flat,Mid-Terrace,22/12/2021,E08000033,,44552,rental,59,57,349,365,2.7,59,2.9,46,Single,1,"double glazing, unknown install date",2,71,0,(another dwelling below),,,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Pitched, limited insulation (assumed)",Poor,Poor,"Room heaters, electric",Very Poor,Poor,Programmer and appliance thermostats,Good,Good,Low energy lighting in 71% of fixed outlets,Very Good,Very Good,no corridor,0,N,natural,44 Thornes Park,Calderdale,BRIGHOUSE,England and Wales: 1976-1982,Rented (private),Energy Assessor,domestic-E08000033-Calderdale
